Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,219.080002,219.759995,217.839996,219.660004,187.322601,3935700
2020-01-03,217.139999,219.679993,216.750000,218.929993,186.700073,3423200
2020-01-06,216.490005,220.000000,216.399994,219.960007,187.578461,5682800
2020-01-07,219.500000,220.559998,216.899994,218.520004,186.350464,5685400
2020-01-08,218.800003,222.970001,218.669998,221.789993,189.138992,4916200
2020-01-09,222.639999,225.550003,221.850006,225.190002,192.038498,4843600
2020-01-10,224.750000,225.490005,223.029999,224.220001,191.211304,4226600
2020-01-13,224.500000,224.509995,222.679993,223.339996,190.460876,6060900
2020-01-14,222.479996,224.949997,222.309998,222.809998,190.008881,3915100
2020-01-15,222.279999,224.979996,222.130005,224.589996,191.526855,3444300
2020-01-16,225.929993,228.860001,225.399994,228.820007,195.134125,5390800
2020-01-17,229.610001,232.600006,228.910004,231.910004,197.769241,7979200
2020-01-21,231.529999,233.660004,231.059998,232.949997,198.656113,4873500
2020-01-22,233.789993,236.529999,232.880005,232.899994,198.613480,4030800
2020-01-23,232.130005,234.820007,230.639999,233.649994,199.253082,4617900
2020-01-24,234.460007,235.429993,230.559998,232.000000,197.845947,4467500
2020-01-27,228.199997,232.470001,228.199997,231.190002,197.155197,3595600
2020-01-28,231.820007,235.250000,231.350006,233.860001,199.432129,3621900
2020-01-29,234.899994,235.880005,233.399994,234.020004,199.568619,2564000
2020-01-30,232.000000,233.300003,231.570007,232.789993,198.519669,4685700
2020-01-31,232.960007,233.229996,227.889999,228.100006,194.520111,5304700
2020-02-03,230.300003,233.529999,229.350006,231.539993,197.453674,5100900
2020-02-04,234.029999,236.360001,234.029999,235.000000,200.404312,3505100
2020-02-05,237.100006,238.320007,235.860001,238.110001,203.056503,3868600
2020-02-06,238.000000,239.410004,237.479996,238.839996,203.678986,3930300
2020-02-07,238.839996,239.529999,236.520004,237.300003,202.365692,2456100
2020-02-10,236.600006,240.610001,236.179993,240.610001,205.188461,2568000
2020-02-11,240.610001,242.449997,240.199997,241.639999,206.066818,2692400
2020-02-12,242.130005,242.300003,238.839996,241.589996,206.024155,3592100
2020-02-13,240.970001,243.600006,240.399994,242.360001,206.680801,2468100
2020-02-14,243.440002,245.199997,242.630005,245.029999,208.957733,2841600
2020-02-18,244.839996,246.110001,243.160004,243.940002,208.028229,2892600
