Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,120.809998,121.629997,120.769997,121.430000,91.182564,5205000
2020-01-03,121.779999,122.720001,120.739998,121.010002,90.867180,6360900
2020-01-06,121.239998,121.669998,120.330002,120.599998,90.559319,9953000
2020-01-07,119.019997,119.730003,117.769997,119.059998,89.402916,7856900
2020-01-08,118.550003,119.089996,117.650002,117.699997,88.381683,7295900
2020-01-09,117.589996,117.919998,116.180000,117.510002,88.239021,7345300
2020-01-10,117.519997,117.690002,116.400002,116.440002,87.435555,6393800
2020-01-13,116.470001,116.910004,116.080002,116.660004,87.600739,6846700
2020-01-14,116.500000,116.879997,115.709999,116.300003,87.330421,7189100
2020-01-15,116.300003,116.410004,115.650002,116.129997,87.202751,5808800
2020-01-16,116.559998,117.279999,116.449997,116.889999,87.773453,7022000
2020-01-17,117.010002,117.290001,115.519997,115.580002,86.789780,7885900
2020-01-21,115.099998,115.150002,113.169998,113.309998,85.085205,8470300
2020-01-22,113.099998,113.529999,112.459999,112.900002,84.777328,5589900
2020-01-23,112.400002,113.489998,111.860001,113.099998,84.927521,8007800
2020-01-24,112.790001,112.980003,111.339996,111.849998,83.988884,6920000
2020-01-27,110.250000,110.830002,109.980003,110.389999,82.892563,7609800
2020-01-28,110.980003,111.620003,110.769997,111.120003,83.440712,5771900
2020-01-29,111.449997,111.839996,110.180000,110.370003,82.877548,4772800
2020-01-30,109.809998,111.580002,109.059998,111.400002,83.650978,8382700
2020-01-31,109.809998,110.000000,106.400002,107.139999,80.452110,13699600
2020-02-03,106.949997,107.250000,105.400002,106.279999,79.806335,8785500
2020-02-04,107.680000,108.339996,106.599998,106.849998,80.234329,9909000
2020-02-05,108.269997,110.650002,108.110001,110.279999,82.809959,6914100
2020-02-06,110.629997,110.669998,109.110001,109.489998,82.216728,6274000
2020-02-07,108.930000,109.440002,108.470001,108.940002,81.803741,4830100
2020-02-10,108.540001,109.800003,108.320000,109.790001,82.442024,6011800
2020-02-11,110.779999,111.370003,110.059998,111.209999,83.508308,6072700
2020-02-12,112.510002,112.599998,111.610001,112.040001,84.131561,5725700
2020-02-13,111.370003,112.330002,111.230003,111.660004,83.846222,5991900
2020-02-14,110.839996,110.970001,109.580002,110.080002,83.625908,5148700
2020-02-18,109.000000,110.269997,108.830002,110.239998,83.747452,4975800
2020-02-19,110.519997,111.099998,109.889999,110.739998,84.127289,5887500
2020-02-20,110.779999,111.070000,109.699997,109.809998,83.420792,4466600
2020-02-21,108.989998,109.190002,107.650002,109.010002,82.813057,6443900
2020-02-24,105.709999,106.959999,104.419998,104.709999,79.546402,9539800
2020-02-25,104.800003,104.919998,100.000000,100.709999,76.507683,12871900
2020-02-26,100.860001,101.610001,98.000000,98.040001,74.479332,11990400
2020-02-27,95.949997,98.199997,94.080002,94.129997,71.508949,15783700
2020-02-28,90.629997,93.440002,90.110001,93.339996,70.908791,20835100
2020-03-02,94.019997,96.680000,92.209999,96.589996,73.377769,15050800
2020-03-03,96.790001,98.480003,93.370003,94.389999,71.706467,16525500
2020-03-04,96.370003,99.019997,95.669998,98.529999,74.851563,14753000
2020-03-05,95.709999,97.389999,94.940002,97.190002,73.833595,12814400
2020-03-06,93.919998,96.059998,93.419998,95.320000,72.412994,16861900
2020-03-09,82.230003,88.010002,80.000000,80.669998,61.283634,30595500
2020-03-10,86.239998,86.300003,81.040001,84.980003,64.557869,22642900
2020-03-11,82.230003,84.839996,81.750000,83.029999,63.076492,18412800
2020-03-12,77.230003,78.129997,72.860001,76.260002,57.933422,25768200
2020-03-13,79.980003,83.500000,74.110001,83.419998,63.372772,23497500
2020-03-16,72.570000,78.489998,69.690002,69.699997,52.949894,17535300
2020-03-17,70.400002,72.980003,65.489998,70.690002,53.701996,22684200
2020-03-18,66.209999,66.230003,54.570000,55.049999,41.820549,24947300
2020-03-19,55.259998,58.490002,51.599998,57.389999,43.598198,29871000
2020-03-20,59.529999,60.650002,56.360001,59.389999,45.117569,26960400
2020-03-23,58.259998,59.400002,52.970001,54.220001,41.190014,23764000
2020-03-24,61.480000,67.650002,60.320000,66.550003,50.556904,29198800
2020-03-25,68.290001,73.139999,66.639999,69.269997,52.623245,22560100
2020-03-26,70.300003,77.099998,67.889999,76.379997,58.024586,24129100
2020-03-27,72.120003,73.540001,68.500000,68.779999,52.250999,20411500
2020-03-30,68.010002,72.930000,67.019997,71.949997,54.659187,18486800
2020-03-31,73.269997,75.040001,70.809998,72.459999,55.046627,18514200
2020-04-01,69.510002,72.290001,67.610001,68.559998,52.083866,14362000
2020-04-02,71.750000,78.699997,69.580002,76.120003,57.827057,23220600
2020-04-03,78.000000,78.989998,73.029999,75.110001,57.059792,14905400
2020-04-06,77.000000,80.949997,75.510002,80.389999,61.070919,17334900
2020-04-07,84.260002,85.690002,80.849998,80.919998,61.473537,16394800
2020-04-08,82.290001,86.300003,81.519997,85.980003,65.317551,12284800
2020-04-09,88.739998,89.910004,81.519997,84.309998,64.048874,17023800
2020-04-13,87.180000,87.360001,83.400002,84.910004,64.504684,13854700
2020-04-14,85.459999,87.080002,84.330002,84.610001,64.276764,14797600
2020-04-15,80.459999,83.379997,79.320000,82.489998,62.666241,13982300
2020-04-16,81.309998,82.190002,78.809998,79.989998,60.767048,12291900
2020-04-17,81.330002,87.500000,81.320000,87.169998,66.221565,16130100
2020-04-20,82.660004,87.000000,82.089996,83.570000,63.486713,15749000
2020-04-21,80.279999,83.790001,79.250000,81.639999,62.020500,19620600
2020-04-22,84.949997,85.250000,82.970001,84.440002,64.147636,10320700
2020-04-23,86.300003,88.779999,85.389999,86.800003,65.940468,14226500
2020-04-24,88.480003,88.790001,85.769997,87.010002,66.100021,9175500
2020-04-27,86.750000,90.620003,85.870003,89.709999,68.151161,12037100
2020-04-28,89.550003,90.959999,88.830002,89.910004,68.303085,10645200
2020-04-29,92.480003,95.139999,92.290001,94.620003,71.881210,12342800
2020-04-30,93.720001,95.739998,90.580002,92.000000,69.890831,12222000
2020-05-01,91.510002,92.050003,87.040001,89.440002,67.946060,13250100
2020-05-04,88.760002,91.620003,87.690002,91.440002,69.465424,11192400
2020-05-05,94.500000,95.300003,92.680000,92.889999,70.566956,13608700
2020-05-06,92.849998,93.459999,89.769997,90.050003,68.409454,11145900
2020-05-07,92.980003,94.059998,91.910004,92.639999,70.377037,9749600
2020-05-08,95.000000,95.559998,94.070000,95.470001,72.526924,8585900
2020-05-11,94.209999,94.599998,93.180000,93.370003,70.931602,7101000
2020-05-12,93.129997,94.029999,91.000000,91.099998,69.207123,8749100
2020-05-13,89.900002,90.000000,87.320000,88.699997,67.383888,12215100
2020-05-14,87.290001,90.930000,86.019997,90.050003,68.409454,10678200
2020-05-15,90.650002,92.059998,88.830002,89.160004,67.733337,10113000
2020-05-18,92.400002,93.400002,91.459999,92.550003,71.340828,12304300
2020-05-19,92.529999,92.629997,89.529999,89.620003,69.082314,7749300
2020-05-20,91.000000,93.470001,90.180000,93.000000,71.687721,9160000
2020-05-21,92.769997,93.370003,91.279999,92.040001,70.947731,8830900
2020-05-22,91.449997,91.599998,89.470001,90.279999,69.591034,8563100
2020-05-26,92.489998,94.339996,92.029999,93.300003,71.918976,9430000
2020-05-27,94.680000,94.690002,92.110001,93.900002,72.381485,7822600
2020-05-28,93.610001,93.900002,90.790001,90.870003,70.045830,9633300
2020-05-29,90.190002,91.889999,89.260002,91.699997,70.685638,17010000
2020-06-01,90.940002,93.849998,90.110001,92.790001,71.525841,7344000
2020-06-02,93.779999,95.220001,93.290001,94.690002,72.990425,7880300
2020-06-03,95.970001,97.730003,95.750000,97.180000,74.909821,8440200
2020-06-04,96.779999,96.889999,95.160004,96.279999,74.216072,6371700
2020-06-05,99.080002,102.050003,99.050003,100.809998,77.707947,12760100
2020-06-08,102.629997,103.589996,100.870003,103.239998,79.581070,11090700
2020-06-09,100.699997,102.930000,99.830002,101.529999,78.262962,10745400
2020-06-10,101.000000,101.500000,97.559998,97.580002,75.218155,10486300
2020-06-11,92.300003,94.190002,89.120003,89.370003,68.889595,14944800
2020-06-12,93.620003,93.650002,90.010002,92.389999,71.217522,9532400
2020-06-15,89.089996,92.080002,88.209999,91.230003,70.323341,12289500
2020-06-16,94.989998,95.580002,91.489998,94.029999,72.481674,8726700
2020-06-17,93.830002,94.000000,91.500000,91.540001,70.562294,6019900
