Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,294.059998,294.579987,291.000000,291.489990,265.326477,2103600
2020-01-03,290.049988,292.899994,289.329987,291.730011,265.544983,1926000
2020-01-06,290.549988,292.070007,288.619995,291.809998,265.617767,2655100
2020-01-07,291.320007,291.690002,289.279999,291.350006,265.199005,1963400
2020-01-08,290.989990,295.480011,290.500000,294.690002,268.239288,2492800
2020-01-09,298.549988,301.959991,297.709991,299.420013,272.544739,3261200
2020-01-10,300.000000,300.269989,296.660004,297.239990,270.560394,2024200
2020-01-13,296.920013,300.649994,296.799988,299.869995,272.954407,1778600
2020-01-14,299.250000,301.000000,298.579987,299.750000,272.845184,1459900
2020-01-15,298.350006,301.040009,298.040009,300.820007,273.819122,1604000
2020-01-16,301.390015,304.059998,300.980011,303.029999,275.830780,1758600
2020-01-17,303.399994,305.299988,303.029999,304.679993,277.332611,2506500
2020-01-21,306.200012,313.339996,305.760010,313.260010,285.142426,3585900
2020-01-22,313.399994,313.559998,310.209991,311.890015,283.895508,2218900
2020-01-23,312.019989,313.399994,310.730011,312.880005,284.796539,1535900
2020-01-24,314.019989,314.279999,309.100006,310.510010,282.639313,1986100
2020-01-27,306.149994,311.769989,305.649994,309.450012,281.674469,2265100
2020-01-28,310.510010,311.709991,309.100006,310.850006,282.948792,1571700
2020-01-29,310.859985,311.970001,309.390015,309.579987,281.792786,1713700
2020-01-30,308.839996,309.640015,306.670013,309.470001,281.692627,1232600
2020-01-31,308.549988,309.179993,304.559998,305.519989,278.097107,1837000
2020-02-03,307.000000,308.579987,301.670013,302.000000,274.893127,2816800
2020-02-04,304.570007,305.910004,302.760010,304.899994,277.532867,1982300
2020-02-05,307.000000,309.589996,305.399994,308.950012,281.219330,1731800
2020-02-06,309.350006,311.839996,307.850006,310.609985,283.326447,1917900
2020-02-07,310.000000,313.809998,309.119995,313.630005,286.081177,1903500
2020-02-10,313.760010,316.940002,312.600006,313.790009,286.227051,2336300
2020-02-11,314.029999,314.429993,310.470001,310.679993,283.390320,2047500
2020-02-12,310.769989,315.480011,310.769989,315.119995,287.440247,1384600
2020-02-13,314.850006,318.790009,313.540009,318.200012,290.249786,1438000
2020-02-14,318.869995,319.809998,316.950012,318.309998,290.350037,1113400
2020-02-18,319.000000,323.480011,318.609985,322.049988,293.761444,1547100
2020-02-19,322.079987,324.529999,321.730011,323.019989,294.646332,1413600
2020-02-20,322.320007,325.070007,321.010010,324.079987,295.613159,1427500
2020-02-21,322.559998,325.260010,321.029999,321.950012,293.670349,2239000
2020-02-24,315.500000,320.000000,313.260010,313.619995,286.072052,2300400
2020-02-25,315.000000,316.570007,304.399994,304.869995,278.090637,2881800
2020-02-26,307.549988,311.299988,304.679993,305.690002,278.838562,2236000
2020-02-27,301.980011,305.000000,293.000000,293.130005,267.381897,3625300
2020-02-28,285.250000,287.329987,271.279999,281.140015,256.445007,7091800
2020-03-02,294.440002,309.510010,291.380005,309.140015,281.985535,7563800
2020-03-03,309.140015,314.170013,301.029999,302.730011,276.138550,5131400
2020-03-04,308.290009,320.970001,305.019989,320.739990,292.566589,4219300
2020-03-05,315.769989,324.510010,313.200012,315.760010,288.024078,6407700
2020-03-06,312.140015,317.489990,302.750000,311.339996,283.992249,6185500
2020-03-09,295.850006,310.329987,293.000000,301.980011,275.454529,5203100
2020-03-10,307.970001,309.730011,294.420013,309.399994,282.222717,4245500
2020-03-11,300.859985,307.790009,294.190002,297.429993,271.304138,3622700
2020-03-12,280.440002,295.630005,276.339996,279.850006,255.268356,7307600
2020-03-13,288.829987,303.250000,278.269989,302.269989,275.718964,6100100
2020-03-16,281.829987,299.529999,279.510010,283.179993,258.305878,5465500
2020-03-17,289.000000,307.190002,286.299988,306.989990,280.024445,7170600
2020-03-18,298.000000,318.000000,296.000000,307.500000,280.489563,6701800
2020-03-19,310.410004,313.850006,302.630005,305.220001,278.409882,5429500
2020-03-20,307.920013,308.010010,287.019989,290.420013,264.909882,6581200
2020-03-23,292.010010,295.670013,278.420013,285.529999,260.449341,5646400
2020-03-24,294.589996,297.350006,282.829987,284.940002,259.911194,7124200
2020-03-25,284.209991,290.720001,279.209991,280.859985,256.189575,5639600
2020-03-26,281.339996,293.730011,280.859985,292.299988,266.624725,5463100
2020-03-27,287.130005,293.489990,283.329987,284.329987,259.354828,4250400
2020-03-30,287.489990,291.679993,285.839996,291.119995,265.548431,4396000
2020-03-31,287.420013,291.519989,284.000000,285.130005,260.084595,5618600
2020-04-01,282.359985,288.799988,280.899994,286.779999,261.589661,3745800
2020-04-02,284.380005,292.779999,282.820007,291.480011,265.876740,3500600
2020-04-03,289.160004,292.339996,285.799988,288.649994,263.295319,2650100
2020-04-06,293.000000,305.489990,289.570007,305.119995,278.318695,5272500
2020-04-07,306.500000,310.000000,303.220001,303.630005,276.959595,4036500
2020-04-08,305.109985,307.420013,302.279999,305.970001,279.094055,3964400
2020-04-09,299.450012,304.350006,297.579987,300.010010,273.657501,6487600
2020-04-13,298.579987,303.950012,297.660004,299.619995,273.301758,3120400
2020-04-14,302.750000,314.750000,301.250000,314.140015,286.546356,4288300
2020-04-15,311.640015,313.750000,306.820007,310.269989,283.016266,2937300
2020-04-16,314.730011,322.630005,312.040009,321.559998,293.314636,3940000
2020-04-17,321.309998,322.130005,314.019989,317.920013,289.994354,3688000
2020-04-20,317.950012,318.380005,311.529999,312.079987,284.667328,3156300
2020-04-21,311.140015,311.890015,299.350006,301.329987,274.861511,3833000
2020-04-22,304.000000,311.130005,302.040009,309.420013,282.240936,2970600
2020-04-23,307.029999,309.640015,304.790009,305.399994,278.574005,2625200
2020-04-24,307.329987,310.829987,305.510010,310.549988,283.271698,2019400
2020-04-27,313.049988,313.290009,307.589996,308.779999,281.657104,2287300
2020-04-28,310.829987,311.269989,304.279999,304.950012,278.163574,2425900
2020-04-29,304.950012,308.679993,301.119995,307.089996,280.115631,3667700
2020-04-30,306.149994,307.899994,302.570007,303.000000,277.016357,3794300
2020-05-01,301.779999,304.820007,300.179993,301.920013,276.028900,2525400
2020-05-04,303.000000,305.529999,300.070007,304.489990,278.378571,2477500
2020-05-05,305.059998,309.799988,303.440002,307.920013,281.514404,2460900
2020-05-06,309.920013,311.040009,306.540009,308.890015,282.401337,2406700
2020-05-07,309.339996,309.869995,304.529999,305.000000,278.844879,2601800
2020-05-08,305.899994,307.179993,303.700012,305.940002,279.704254,2337400
2020-05-11,305.640015,311.829987,305.000000,310.329987,283.717651,1865900
2020-05-12,310.839996,311.549988,304.790009,304.839996,278.698456,2264900
2020-05-13,304.839996,306.399994,300.119995,302.140015,276.230103,2954900
2020-05-14,301.010010,302.880005,294.540009,299.739990,274.035828,3718900
2020-05-15,299.070007,299.829987,295.859985,299.209991,273.551270,4577200
2020-05-18,301.720001,303.190002,299.920013,302.760010,276.796906,3987300
2020-05-19,304.619995,309.019989,303.149994,304.630005,278.506561,3523000
2020-05-20,306.769989,307.920013,303.200012,304.910004,278.762573,2827000
2020-05-21,304.790009,305.040009,301.250000,301.970001,276.074615,2492100
2020-05-22,302.010010,303.940002,300.829987,302.429993,276.495239,2366400
2020-05-26,306.010010,306.899994,303.529999,304.799988,278.661926,3234600
2020-05-27,304.559998,306.309998,299.470001,306.010010,279.768188,2980200
2020-05-28,307.250000,311.000000,306.899994,309.559998,283.013733,4301900
2020-05-29,304.200012,308.880005,302.350006,308.470001,282.017212,4971800
2020-06-01,307.899994,309.739990,306.459991,308.290009,281.852783,2293700
2020-06-02,307.950012,309.019989,304.720001,307.089996,280.755676,2528900
2020-06-03,307.500000,308.200012,305.920013,306.640015,280.344147,2165900
2020-06-04,310.850006,315.350006,309.089996,310.750000,284.101746,4553900
2020-06-05,313.130005,313.630005,307.290009,312.040009,285.281158,4375600
2020-06-08,310.660004,311.290009,306.459991,307.190002,280.846954,3764500
2020-06-09,307.500000,308.600006,305.170013,305.549988,279.347687,3155800
2020-06-10,306.480011,308.630005,305.649994,307.329987,280.974945,2713700
2020-06-11,306.989990,309.200012,300.640015,300.829987,275.032379,3443000
2020-06-12,302.670013,305.149994,296.250000,298.700012,273.085083,4020000
2020-06-15,297.049988,298.070007,293.839996,297.179993,271.695374,3266800
2020-06-16,301.350006,302.739990,299.220001,301.359985,275.516937,2633800
2020-06-17,301.019989,302.000000,298.899994,299.609985,273.917053,2188400
2020-06-18,300.000000,300.809998,297.790009,299.570007,273.880524,1881800
2020-06-19,300.179993,301.899994,298.640015,299.899994,274.182098,3438000
2020-06-22,299.700012,301.480011,298.250000,300.450012,274.685059,2094400
2020-06-23,301.730011,304.899994,300.730011,301.290009,275.452972,2409600
2020-06-24,300.769989,301.279999,296.600006,298.019989,272.463348,2398100
2020-06-25,297.059998,301.149994,295.399994,300.529999,274.758087,2274300
2020-06-26,300.410004,302.119995,295.950012,296.559998,271.128601,2866000
2020-06-29,297.440002,301.630005,296.829987,301.589996,275.727264,1841700
2020-06-30,301.010010,304.619995,300.140015,303.209991,277.208344,2391700
2020-07-01,302.500000,305.579987,300.750000,304.750000,278.616272,1906100
2020-07-02,306.000000,308.920013,304.600006,305.739990,279.521362,2540500
2020-07-06,307.529999,311.559998,307.239990,311.489990,284.778290,2332400
2020-07-07,310.019989,318.049988,309.720001,316.230011,289.111816,3346600
2020-07-08,317.140015,318.049988,314.010010,316.320007,289.194122,2364500
2020-07-09,320.000000,328.980011,319.679993,325.540009,297.623352,5313600
2020-07-10,326.000000,327.399994,323.109985,326.230011,298.254272,2484100
2020-07-13,326.299988,329.109985,321.500000,322.920013,295.228149,2583200
2020-07-14,321.320007,328.660004,320.450012,328.000000,299.872375,1844800
2020-07-15,328.100006,329.320007,325.619995,326.700012,298.683960,1770700
2020-07-16,326.619995,327.899994,324.059998,326.269989,298.290833,1402000
2020-07-17,327.299988,327.799988,324.579987,324.790009,296.937653,1768100
2020-07-20,324.890015,327.440002,322.660004,326.510010,298.510284,1863300
2020-07-21,327.000000,331.489990,326.500000,327.739990,299.634644,1874200
2020-07-22,329.649994,329.660004,325.010010,328.299988,300.146759,1312600
2020-07-23,328.100006,330.380005,325.329987,326.109985,298.144592,1561700
2020-07-24,326.220001,328.750000,324.670013,325.779999,297.842834,1423400
2020-07-27,325.679993,329.000000,325.179993,327.600006,299.506744,2083300
2020-07-28,327.970001,330.000000,325.820007,327.570007,299.479309,1374000
2020-07-29,327.019989,328.040009,325.390015,326.140015,298.171967,1341300
2020-07-30,322.690002,326.450012,322.000000,324.820007,297.603882,1390300
2020-07-31,324.820007,326.309998,322.549988,325.529999,298.254456,2149900
2020-08-03,325.549988,329.890015,324.299988,329.320007,301.726868,2480200
2020-08-04,329.559998,339.820007,328.920013,339.790009,311.319641,3933300
2020-08-05,341.859985,342.730011,337.589996,339.970001,311.484589,2923700
2020-08-06,342.410004,345.119995,341.609985,343.309998,314.544678,2104300
2020-08-07,343.140015,344.730011,339.630005,340.910004,312.345764,1759000
2020-08-10,340.709991,341.070007,338.579987,340.000000,311.511932,1503800
2020-08-11,340.850006,340.850006,331.799988,332.429993,304.576263,2065600
2020-08-12,333.750000,338.899994,333.170013,336.760010,308.543427,1853900
2020-08-13,336.989990,339.459991,335.130005,335.700012,307.572266,1536500
2020-08-14,336.529999,338.760010,335.600006,336.279999,308.103638,1522900
2020-08-17,337.649994,340.369995,337.359985,339.959991,311.475281,1504700
2020-08-18,341.000000,342.799988,336.809998,340.750000,312.199188,1489400
2020-08-19,341.119995,341.940002,339.950012,340.899994,312.336548,1730100
2020-08-20,340.140015,341.660004,338.739990,340.869995,312.309082,1717500
2020-08-21,340.070007,345.839996,339.329987,344.609985,315.735748,2372600
2020-08-24,345.109985,346.109985,342.109985,344.130005,315.295898,1461500
2020-08-25,344.140015,344.910004,341.459991,344.709991,315.827362,1176200
2020-08-26,343.010010,344.829987,341.690002,344.269989,315.424194,1757000
2020-08-27,345.609985,347.739990,342.549988,346.359985,317.339050,2220700
2020-08-28,347.470001,349.059998,345.500000,348.369995,319.180634,1487300
