Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,89.050003,89.809998,88.080002,88.690002,76.867142,8413900
2020-01-03,87.260002,87.639999,86.440002,87.019997,75.419754,8340300
2020-01-06,85.910004,86.550003,85.540001,86.510002,74.977707,8381400
2020-01-07,87.040001,89.489998,86.910004,88.970001,77.109787,8377400
2020-01-08,88.900002,89.470001,87.919998,88.709999,76.884453,7619900
2020-01-09,89.660004,90.720001,88.830002,89.910004,77.924500,9155500
2020-01-10,90.510002,92.389999,89.870003,90.260002,78.227844,9668300
2020-01-13,91.050003,92.730003,90.550003,90.970001,78.843185,10367800
2020-01-14,91.129997,91.610001,90.290001,90.559998,78.487846,7800100
2020-01-15,90.750000,91.180000,89.250000,89.669998,77.716484,7259100
2020-01-16,90.220001,92.230003,89.820000,91.790001,79.553879,9295500
2020-01-17,93.000000,96.169998,92.949997,95.910004,83.124664,23694400
2020-01-21,95.330002,95.720001,93.419998,94.540001,81.937309,10868500
2020-01-22,95.260002,95.389999,92.709999,92.970001,80.576584,8342300
2020-01-23,92.849998,92.949997,91.459999,92.000000,79.735886,11282000
2020-01-24,92.680000,93.250000,88.830002,89.650002,77.699158,9471700
2020-01-27,87.300003,88.220001,86.449997,87.050003,75.445755,9240200
2020-01-28,88.150002,89.540001,87.389999,89.150002,77.265800,9187000
2020-01-29,88.660004,89.019997,87.349998,88.230003,76.468445,8158500
2020-01-30,87.309998,87.860001,86.190002,87.779999,76.078430,8379400
2020-01-31,87.050003,87.169998,85.040001,85.309998,73.937698,9503600
2020-02-03,85.550003,86.580002,85.160004,86.480003,74.951736,7792700
2020-02-04,88.250000,88.949997,87.370003,88.930000,77.075134,9236400
2020-02-05,90.989998,91.139999,89.269997,90.910004,78.791176,14220900
2020-02-06,88.059998,90.779999,86.190002,90.610001,78.531181,21059000
2020-02-07,89.620003,90.029999,87.379997,87.419998,75.766411,10725100
2020-02-10,86.779999,88.639999,86.500000,88.599998,76.789124,7481300
2020-02-11,89.370003,91.470001,88.900002,90.000000,78.002480,9452800
2020-02-12,91.650002,92.440002,91.290001,91.720001,79.493195,9824200
2020-02-13,91.029999,91.379997,89.779999,90.029999,78.028496,8428300
2020-02-14,90.550003,90.800003,88.790001,89.599998,77.655830,6256500
2020-02-18,87.830002,89.000000,87.529999,88.029999,76.295113,7248100
2020-02-19,88.919998,90.620003,88.650002,90.559998,78.487846,7820900
2020-02-20,90.809998,91.879997,88.680000,89.470001,77.543137,9754900
2020-02-21,88.559998,89.029999,86.330002,87.029999,75.428398,12257600
2020-02-24,83.900002,84.830002,82.709999,83.320000,72.212990,12158500
2020-02-25,83.940002,84.400002,79.639999,80.220001,69.526222,14725000
2020-02-26,81.000000,82.029999,79.089996,79.660004,69.040878,13125000
2020-02-27,77.129997,78.190002,75.330002,75.940002,65.816765,17898300
2020-02-28,73.760002,79.809998,73.339996,78.300003,67.862175,20843300
2020-03-02,79.019997,80.709999,77.129997,80.559998,69.820915,15043400
2020-03-03,80.820000,82.650002,77.830002,78.559998,68.087524,16356200
2020-03-04,79.120003,81.910004,78.050003,81.800003,71.459564,9894900
2020-03-05,79.459999,81.370003,78.699997,79.169998,69.162041,9396200
2020-03-06,76.330002,78.080002,75.830002,77.470001,67.676933,11536500
2020-03-09,72.400002,76.099998,71.830002,72.639999,63.457489,13898500
2020-03-10,74.800003,79.040001,74.160004,78.889999,68.917427,13615600
2020-03-11,76.290001,77.790001,73.720001,74.620003,65.187210,13376500
2020-03-12,69.519997,72.529999,67.000000,67.019997,58.547928,19386200
2020-03-13,71.180000,76.669998,67.260002,75.809998,66.226776,15971400
2020-03-16,68.279999,71.169998,64.459999,64.480003,56.329006,16134700
2020-03-17,65.910004,69.809998,62.200001,68.860001,60.155319,16864500
